counter,X491197,X491256,X491280,X491336,X491592,X491675,X491687,X491688,X491733,X527069,X534753,X558864,X562296,X569332,X573700,X576309,X581678,X581688,X586995,X593700,X593857,X594201,X594490,X598458,X598625,X599064,X599672,X600582,X600651,X600883,X601150,X601347,X601485,X601550,X601631,X601821,X601868,X601973,X601975,X602037,X602252,X603750,X604307,X604321,X604354,X604374,X604413,X604643,X607061,X607859,X608539,X609056,X609061,X609131,X609717,X609737,X609739,X609789,X610096,X610105,X610444,X611184,X123,X456,X789
1,3,3,5,3,3,3,3,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,5,5,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,5,5,6,5,5,5,5,5,6,5,5,5,6,5,5,6,5,5,5,5,5,5,5,6,5,5,5,6,5,5,6,5,5,5,5,5,6,5,5,7,6,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5
3,6,6,7,6,6,6,6,6,7,6,6,6,7,6,6,7,6,6,6,6,6,6,6,7,6,7,6,8,7,6,7,6,6,6,6,8,7,6,6,8,7,6,7,6,6,6,6,6,7,6,7,6,7,8,6,6,6,6,6,6,6,6,6,6,7
4,7,7,8,7,7,7,7,8,8,7,7,10,8,8,7,10,7,7,7,8,7,7,7,8,7,10,7,10,8,7,8,7,7,7,7,10,8,7,7,14,8,7,8,7,7,7,7,7,8,7,8,7,8,10,7,7,7,7,7,7,7,7,7,7,8
5,8,10,10,8,8,8,8,10,10,8,8,14,10,10,8,14,8,8,10,10,8,8,8,10,8,14,10,14,10,8,10,8,8,8,8,14,14,8,10,15,10,8,10,8,8,10,10,8,14,8,10,8,10,14,8,10,10,8,8,8,8,8,8,8,10
6,10,14,14,10,10,10,10,15,14,10,10,15,14,14,10,15,10,10,14,14,14,10,10,14,10,15,14,15,14,10,14,10,10,10,10,15,16,10,14,16,14,10,15,10,14,14,14,10,15,14,14,10,14,15,10,14,14,10,10,10,10,14,10,10,14
7,14,16,15,14,14,14,15,16,15,14,14,16,15,15,15,16,14,14,15,15,15,15,14,15,14,16,15,16,15,14,15,14,14,14,14,16,17,14,15,17,15,14,16,14,15,15,16,14,16,15,15,14,15,16,15,15,15,14,14,14,15,15,14,14,15
8,15,17,16,15,15,15,16,17,17,15,15,18,16,16,16,17,17,15,16,16,17,16,15,16,16,17,16,17,16,15,16,16,15,15,15,17,21,15,16,18,16,15,17,15,16,16,17,15,17,16,16,15,16,17,16,16,17,15,15,15,17,16,15,15,16
9,16,18,17,18,16,17,17,18,18,16,16,21,21,17,18,18,18,16,17,17,18,17,17,17,17,18,17,21,17,16,17,17,16,16,16,18,24,16,17,21,17,16,18,16,17,17,21,16,18,17,17,16,17,21,17,17,18,16,16,16,18,18,16,16,17
10,21,24,18,21,17,21,18,21,24,18,18,24,24,18,21,21,21,17,18,18,21,18,18,18,18,21,18,24,18,17,18,18,17,17,17,21,27,17,18,25,18,17,24,17,18,18,24,17,21,18,18,17,18,25,18,21,24,17,17,18,21,21,17,17,18
11,24,25,21,24,18,24,21,24,25,21,25,25,25,21,24,24,24,18,21,21,25,24,24,21,21,24,21,25,21,18,21,21,18,18,18,24,30,18,21,26,21,18,25,18,21,21,26,21,24,21,21,18,21,26,21,24,25,21,18,21,24,24,18,18,21
12,25,26,24,25,21,25,24,25,27,24,26,26,27,24,25,25,25,21,24,25,26,25,25,24,24,25,24,27,24,21,24,24,21,21,21,25,32,24,24,30,24,21,26,21,24,24,27,24,25,24,24,21,24,27,24,25,26,24,21,24,25,25,21,24,24
13,27,27,25,26,24,26,25,26,30,25,30,27,30,25,26,27,26,24,25,27,27,26,26,25,26,26,25,34,25,24,25,25,24,24,24,27,34,25,25,32,25,24,27,24,25,25,30,25,26,25,25,24,25,30,25,26,27,25,24,25,27,26,24,26,25
14,32,30,26,27,25,27,26,27,32,26,32,30,32,26,27,30,27,25,26,30,30,27,27,26,27,27,26,35,27,25,26,26,25,25,25,30,36,26,26,34,26,25,30,25,26,26,34,27,27,26,26,25,26,32,26,27,30,26,25,27,30,27,26,30,26
15,36,32,30,30,26,30,27,30,34,27,34,32,34,27,32,32,30,30,27,32,32,30,30,27,30,30,27,36,30,26,30,27,26,26,26,32,39,30,27,35,30,26,32,26,27,27,35,30,30,27,27,26,27,34,27,30,34,27,26,30,34,30,27,32,27
16,37,34,32,32,27,32,32,32,35,30,35,34,35,30,34,35,32,32,30,34,34,32,32,30,32,32,32,37,32,27,34,30,27,27,27,34,40,32,30,37,32,27,34,27,30,30,37,32,32,30,30,27,30,35,30,32,35,30,27,32,35,32,30,34,30
