"id","Q1Pur","Q2Aw_1","Q2Aw_2","Q2Aw_3","Q2Aw_4","Q2Aw_5","Q2Aw_6","Q2Aw_7","Q2Aw_8","Q2Aw_9","Q2Aw_10","Q2Aw_11","Q3Pi_r1","Q3Pi_r2","Q3Pi_r3","Q3Pi_r4","Q3Pi_r5","Q3Pi_r6","Q3Pi_r7","Q3Pi_r8","Q3Pi_r9","Q3Pi_r10","Q4CredL_r1","Q4CredL_r2","Q4CredL_r3","Q4CredL_r4","Q5CredG_r1","Q5CredG_r2","Q5CredG_r3","Q5CredG_r4","Q6CredT_r1","Q6CredT_r2","Q6CredT_r3","Q6CredT_r4","Q7Belief","Q8Myst","Q9Myst","Q10Myst","Q11Myst","Q12Myst","Q13Opti_r1","Q13Opti_r2","Q13Opti_r3","Q13Opti_r4","Q13Opti_r5","Q13Opti_r6","Q13Opti_r7","Q13Opti_r8","Q13Opti_r9","Q14Demo","Q15Demo","Q16Demo","Q17Demo","Q18Demo","Q19Demo","Q20Demo","Q21Demo","Q22Demo","Q23Com"
3,2,1,0,0,1,1,1,0,1,1,1,0,4,2,3,6,5,4,3,4,2,2,5,3,4,4,4,5,3,5,5,4,5,5,1,1,"secret places",2,"",1,5,6,6,6,7,6,7,3,6,2,26,"Brazil",2,3,1,4,2,2,""
5,1,1,0,1,1,0,1,1,0,0,0,0,6,3,6,5,3,6,6,3,3,2,6,4,6,6,5,4,5,6,6,6,6,6,1,2,"",NA,"",1,6,6,6,7,6,7,6,7,6,2,25,"Turkey",1,1,1,4,1,2,""
6,1,1,0,0,0,0,1,1,0,0,0,0,2,1,1,1,1,1,2,2,1,1,5,4,5,6,4,4,4,4,5,5,5,6,3,1,"Blind booking of flights and whole trips",1,"Blind Booking of a flight",1,2,3,5,4,3,4,3,5,5,1,22,"Germany",2,1,2,4,2,1,""
7,1,1,0,1,1,0,1,0,1,1,1,0,3,2,3,3,3,3,2,3,4,2,4,5,5,4,5,4,6,7,5,4,6,6,1,1,"Beauty boxes, collectible cards",1,"Pokemon cards",1,6,6,6,6,7,5,5,6,6,1,22,"Slovakia",2,2,2,4,1,1,""
8,1,1,1,1,1,1,1,0,1,1,1,0,2,2,2,2,2,2,2,2,5,2,6,5,6,4,2,2,2,2,2,2,2,2,3,1,"Stoffrestepaket",1,"Stoffrestepaket",1,6,7,1,6,4,7,5,7,6,1,32,"Germany",3,2,1,4,2,2,""
10,2,1,0,0,0,0,0,1,0,0,0,0,6,1,2,5,2,2,5,2,3,2,6,5,5,6,4,4,2,4,6,6,6,6,2,2,"",NA,"",2,6,6,6,7,7,6,6,5,6,1,23,"Germany",2,2,2,3,1,1,""
13,1,1,1,1,1,1,1,1,1,1,1,0,6,2,2,2,2,2,1,1,2,3,5,6,5,4,4,3,5,4,3,4,4,3,3,2,"",NA,"",2,3,5,6,6,5,5,6,5,3,2,56,"Germany",2,2,4,3,2,2,""
14,2,1,0,0,0,0,0,0,1,0,0,0,6,5,5,6,6,5,3,6,4,3,6,5,7,4,6,5,6,4,6,6,6,4,3,2,"",NA,"",2,6,6,6,7,5,7,7,5,5,1,23,"Germany",3,4,2,4,1,1,""
15,1,1,0,0,1,1,1,1,1,1,0,0,3,4,2,4,4,4,2,4,5,2,6,6,6,5,5,6,6,5,6,6,6,6,2,2,"",NA,"",1,6,6,6,7,6,6,6,6,6,2,26,"Canada",2,1,4,4,2,1,""
16,3,1,0,1,0,0,1,0,1,0,0,0,4,3,5,3,3,4,3,4,3,3,6,6,6,5,6,6,6,6,6,6,6,6,1,2,"",NA,"",1,6,7,6,2,6,7,6,6,6,1,22,"China",3,1,4,4,1,2,"Some problems are repeated"
