brandM,brandT,brandG,fitSt,fitBo,fitWi,black,lblue,none,price,id
-0.495212438,0.856849573,-0.283026163,0.454024224,-4.391238934,-4.244206881,-0.188314393,0.090897543,-5.994947447,-3.383350878,3
-1.28187149,-0.289835912,-1.338925588,-1.574476871,-1.805188708,-2.811092364,-0.57284702,-0.21431611,-9.720358241,-5.394254902,5
-0.534709059,-0.966797615,-0.455228518,-4.799648241,-7.300968537,-8.447016646,-0.357218028,-0.350750831,-10.64311445,-9.907554796,6
-0.645300854,-0.586648585,-0.802486425,0.035021448,-2.518875829,-3.575501543,-0.109739381,-0.459950689,-10.76995922,-11.96837124,7
-1.229818221,-2.217036631,-1.862832031,-0.527745778,0.408848189,-0.746920339,0.079273226,-0.472372123,-1.785112781,-2.178394576,8
-2.472164871,-0.886841998,-2.666003377,-4.072858952,-6.439007377,-7.346741648,-0.064186637,-0.628555848,-4.865837105,-2.872835799,10
-1.205369755,-0.526774313,-1.161299259,-3.826260802,-6.86635359,-7.493570535,0.0911707,-0.798459734,-5.202416938,-4.262987887,14
-0.428214736,-0.017865978,-0.07410017,-5.083276434,-7.015251623,-8.570350583,0.050600296,-0.717130265,-12.84443843,-14.05813237,15
0.23256008,-1.124704206,-0.031965098,0.709927753,-2.315516275,-0.740572064,1.37920173,-0.580517402,-5.540148446,-6.504251138,16
-0.618627863,-1.746580723,-1.12264336,0.522697734,-1.502953456,0.101988273,0.095409592,-0.481205082,-10.13455136,-10.70176655,17
-1.307880896,0.219275656,-1.271760393,-0.844497328,-4.968792577,-5.551286954,-0.365642509,-0.224182802,-7.78723131,-7.064883791,18
-0.964418929,-0.145937476,-1.260096702,3.424619308,-1.633377505,-1.590444044,-0.038237444,-0.608831356,-2.14301119,-4.726496604,21
-2.283372736,-0.986759967,-2.457971836,-4.360826736,-7.133084644,-8.069700725,0.07318809,-0.99089767,-5.310888684,-3.387873089,24
-1.532968007,-1.190943611,-2.019402176,0.417033086,-0.270831954,-0.1191348,1.306242481,-0.573156514,-4.865905086,-6.056508175,25
-1.708343246,-0.845954595,-2.179969543,1.771727441,-2.900609767,-3.093398475,0.269807245,-0.655121563,-5.868559877,-6.240024425,26
-0.852152171,0.187757204,-0.449842882,-6.248690083,-4.480322016,-7.263912897,0.747756698,-0.239027242,-10.80123425,-4.697842278,27
-1.186291234,-2.475132972,-1.8565638,-0.855205983,-1.233394694,-1.17012418,0.051865832,-0.835240175,-6.972856052,-6.013963678,30
-0.840133316,0.113983731,-0.852239843,0.033874737,-0.145442261,-0.473432444,0.147303614,-0.6269795,-4.79602064,-2.82735045,32
-1.795132255,-1.604470858,-2.172200159,-2.701569996,-5.651842779,-6.952204182,-0.269382044,-0.972751062,-9.836403775,-8.234401818,34
-0.359261225,-0.419437087,-0.168949407,-4.140175127,-7.500222694,-7.742686836,0.069690746,-0.261978799,-10.36386091,-5.104241364,35
-0.715059037,-0.942412089,-0.646405042,-5.305772544,-5.588526001,-7.479143973,0.843832793,-0.491469366,-11.00521838,-9.432029363,36
-1.214962303,-1.092081276,-1.447306342,-2.376197591,-5.595050702,-5.898305985,1.378318303,-0.173886369,-4.468275877,-3.126345731,37
-2.214607967,-1.800957468,-3.015105892,1.574219059,1.411968681,0.881707605,0.816603658,-0.502893592,-7.281067267,-6.506962057,39
0.153474508,-0.296078004,0.493758155,-5.262458964,-7.651026128,-6.624403789,0.814982783,-0.330121483,-9.288977759,-5.326578332,40
-1.516394185,-1.232530775,-2.122791715,2.594691063,0.689977218,-1.52230377,0.376387963,-0.861242491,-6.161203861,-5.958211419,41
-1.291000814,-1.629196975,-1.477867757,-4.846669727,-7.865997707,-8.682349127,-0.089369823,-0.71389796,-8.753023255,-4.863795173,43
-2.564837729,-1.604142165,-2.96914476,-4.054791519,-1.756882614,-5.226609724,-0.263193381,-0.336596973,-9.679298013,-4.534381914,44
0.28549478,-0.217095901,0.489783883,-2.031166683,-6.325325956,-6.988216642,-0.341689145,-0.618128827,-8.910028224,-8.017314178,45
-0.057278448,0.788847642,-0.107847646,4.396748651,2.668228717,3.227106706,1.686656204,-0.586106583,-1.995325838,-2.742738662,46
-1.607737732,-0.793829729,-1.762296318,-2.672241579,-3.770284181,-5.495755049,0.019495476,-0.838272186,-7.395705141,-6.370075588,47
-0.59141236,-1.036282139,-0.533886038,-4.971303483,-6.939972118,-8.349189541,0.006447901,-0.459867932,-13.38954335,-14.93645079,48
-0.215114341,1.362467503,0.307377314,-2.127474904,-1.465074285,-4.368047104,1.306170388,-0.921331975,-6.170392638,-5.473921434,57
0.603169135,0.503635112,0.95937536,-1.303224268,-3.20509747,-2.926802856,0.50403723,-0.744317789,-9.739654275,-6.951348812,58
-1.907320147,-1.118921654,-2.045481086,-4.505573857,-7.539269063,-8.680950963,-0.922011013,-0.441895606,-9.184543883,-6.777813038,59
-2.16322841,0.065229208,-2.229934899,-1.809644001,-4.256204436,-3.594864416,-0.068590711,0.102264769,-3.887910036,-2.925747128,60
-1.501209552,0.367554305,-1.435980956,-1.487207399,-1.373704929,-1.343671164,-0.104449447,0.054417889,-9.709883993,-5.883155434,61
-1.230368623,-0.982583052,-1.14186434,-6.460468933,-8.956220787,-9.928675729,0.100933728,-0.512723509,-9.584949181,-5.033850315,62
-1.084484932,-0.954963392,-0.961954131,-6.580100026,-9.181174821,-9.931782073,0.107780693,-0.586470165,-8.858313824,-4.644906673,63
-0.661894637,0.480090817,-0.641401988,1.561035669,-3.724496971,-3.693272935,0.133095479,-0.299311757,-5.045339445,-3.822551587,67
-0.108979918,-0.467390923,-0.125823378,-0.600805693,-4.337523794,-4.996235676,0.116398936,-0.4714885,-9.710465575,-12.92195418,73
-0.547795843,-0.13563761,-0.780948896,2.891219278,3.524527207,2.773126136,0.373875112,-0.587367066,-7.185354228,-11.71740083,75
-1.114794169,-1.009177433,-1.021826876,-6.396199624,-8.699019019,-9.733172645,0.017215055,-0.503083516,-9.923398922,-5.553312452,78
-0.19617567,-0.254215646,0.12149365,-5.041666226,-7.197649666,-8.752201111,0.301655401,-0.922484992,-10.49319765,-10.79437809,79
-0.239959488,-0.834583367,-0.264426702,-2.373269115,-3.360929611,-4.999537816,0.563132895,-0.74403132,-7.479343425,-8.784599088,82
-1.277058795,-1.852930647,-1.659724257,-2.640413739,-6.070104702,-6.729749247,0.086733982,-1.366087247,-5.862124535,-5.055168752,83
-1.730385095,-0.934734905,-1.966594084,-2.246380299,0.106092335,-2.910437758,-0.081037492,-1.299455567,-8.010213992,-7.741094103,85
-0.748497902,-0.619799286,-0.767088475,-2.817887108,-5.425064925,-4.945142099,1.109030555,-0.598666497,-7.890719829,-4.518939329,88
-1.201694511,-1.366411265,-1.598475927,-0.483374715,0.332451258,-1.898171807,-0.21556449,-1.136936033,-8.365841582,-4.922791787,91
-1.232679863,-0.684770261,-1.528255429,0.60904118,0.92126666,0.708967977,-0.32349879,-1.070974596,-5.717728846,-6.193933834,93
-1.311194402,-0.491927819,-1.593026265,0.911353758,0.073713088,-2.533055907,0.280475539,-0.492698844,-5.754442232,-3.068430361,94
-2.542262608,-0.384491484,-3.09633943,2.924519927,3.18997905,2.05791527,0.471226345,-0.20326603,-2.735018417,-3.580462108,98
-1.526845176,-1.616481801,-1.905401745,-2.435015126,-5.220402001,-6.219981223,0.109046579,-0.431654596,-11.62974479,-13.522752,100
-1.906711962,0.56258745,-1.893792539,-0.352390531,-3.98928366,-4.582598616,0.290507278,-0.96035471,-2.284940181,-2.667301107,101
-1.056943354,-0.96495759,-1.448983782,1.387987825,-3.335123732,-3.496459361,-0.009882317,-0.381378765,-4.862873537,-6.251959195,102
-0.490538054,-0.887372788,-0.715677513,0.109778911,-1.056395068,-2.114559133,-0.24393325,-0.42192121,-10.74315313,-8.642046226,104
-1.773330357,-1.717874774,-2.163312532,-3.317480708,-5.203647088,-6.239925423,0.469910969,-0.285693509,-7.685983228,-3.664444064,106
-0.179885535,-0.771055442,-0.039273386,-4.243699304,-6.874499335,-7.791710182,-0.274970175,-0.725421693,-10.8851415,-10.99647787,107
-1.083853883,-1.927012464,-1.394082916,-3.833467117,-6.626672145,-7.932758156,0.52859749,-1.179846604,-7.919057881,-7.273178644,108
-0.163242853,0.325655535,0.126065875,-2.547249507,1.34944555,-2.767507614,0.507401867,-0.771471753,-9.124064528,-5.377619139,109
-1.124948634,-1.113104903,-1.402232901,-0.951079603,-5.222692434,-5.871215997,-0.200324073,-1.032690953,-7.45648463,-5.263771715,110
-1.250496324,-1.211184085,-1.8261342,2.205458521,2.169949978,3.563980483,0.664694449,-0.042753406,-5.161248713,-3.549791474,113
-1.60386311,-1.307447441,-1.883548756,-3.270824625,-1.425700402,-4.446522739,1.167115825,-0.657317844,-8.389990307,-7.870341028,117
-1.31696457,-0.641170339,-1.246164986,-4.934970654,-7.233019212,-8.503261156,0.257348863,-1.054965655,-7.931550248,-5.934827315,119
-1.90359667,-2.41537765,-2.797515489,1.356643509,2.862146608,-0.492781135,0.583793059,-0.876791938,-6.085498947,-8.831432296,120
-1.233439922,-0.035150627,-1.017337419,-4.364032361,-6.99108801,-8.339670997,-0.499172361,-0.849701308,-9.852718054,-10.07838451,121
-1.659380383,0.992633351,-1.505858744,-0.497672372,-1.267036024,-3.642038517,0.622974354,-0.84745946,-2.498552868,-2.349848282,124
0.397358725,0.973793701,0.91650262,-1.874549119,-5.305821192,-4.742067783,-0.891678509,-0.4469358,-10.66294072,-7.279630404,125
-3.109322093,-1.478083481,-3.836549401,-0.009030719,0.858524416,1.585270679,0.136072751,0.115907145,-7.920340286,-3.866994378,127
-2.01264527,-1.160253053,-2.501246925,-0.113898362,-1.856487481,-0.936007632,0.515039502,-0.749059126,-7.65275135,-4.281267815,130
-3.834550601,-3.026822691,-4.997929436,-0.767831089,-1.332175205,-1.208694152,0.399036915,-0.490019665,-6.167842624,-3.986469441,131
-1.897744858,-1.155277977,-2.224465568,-1.655422595,-5.285123039,-6.182914582,-1.14890897,-0.490964128,-7.409564485,-6.962724674,134
-1.332225231,-1.040522044,-1.305800703,-5.728780362,-8.245550073,-9.334197983,-0.572402823,-0.531608588,-9.883656683,-6.344129472,135
-3.662350987,-1.635802698,-4.518444053,0.529410279,0.961915731,-0.273160598,0.089546983,-0.680107238,-6.38563976,-2.526538866,138
-1.454599709,-0.790234618,-1.748490251,-0.607688759,-2.480830293,-0.387898636,0.182210773,0.004729809,-7.710578938,-4.384408718,141
-0.859222634,-0.856223448,-0.988504557,-2.027311598,-5.69545632,-6.392820266,0.998523177,-1.064759755,-5.382827008,-4.798684455,142
-0.851224952,-0.48469739,-1.223080229,2.756942526,1.508454087,2.158471593,1.583632379,-0.723122323,-1.071469919,-4.061808083,147
-0.204188607,0.528905078,0.060399762,-1.106829641,-4.381390945,-5.191006712,-0.189861861,-0.098253137,-11.09685587,-11.35653144,148
-0.555475122,-0.259143247,-0.740117379,0.992602963,0.937603214,0.969155535,2.70046977,-0.815478436,-2.878717359,-3.083745158,149
-0.814812098,-1.192847121,-0.871884422,-4.161885861,-2.887223138,-5.795848496,-0.429078615,-1.038201768,-12.81345098,-13.65527134,152
-0.908046147,-0.413094446,-1.190650872,2.019114958,-0.764920196,0.609655385,0.097315222,-0.503521834,-2.088194541,-4.804113272,153
-1.503984651,-0.363185767,-1.801057797,0.865315454,1.547911118,-0.328185278,1.095446553,0.083875853,-6.240978555,-7.071367404,154
-0.370756632,-1.004786457,-0.552247205,-1.13826105,-5.215596881,-2.15404522,1.336127079,-1.521030246,-6.940327871,-3.59077392,156
-0.233528665,0.086499928,0.042658115,-3.13488744,-7.505764041,-7.260873987,-0.131436644,-0.039363589,-9.638908502,-4.620014766,160
-0.516157112,-0.32278876,-0.441895586,-2.235523008,-3.273710797,-5.162633819,-0.017817024,-0.634532085,-12.23091136,-13.66452479,161
-0.961087519,-2.165021493,-1.329010329,-3.724260792,-6.70798458,-7.042744866,0.132075869,-0.349255533,-6.636489894,-4.207509858,162
0.206076754,-0.775006267,0.140298774,-0.727554116,-3.798985839,-2.756139866,0.731789233,-0.972359158,-7.717804941,-5.14650834,165
-0.063364362,-0.078811646,0.078712346,-1.511679014,-1.242374271,-4.004246537,0.608369412,-1.364842094,-9.432377925,-10.1815189,166
-1.30824569,-0.350118011,-1.290025867,-2.821688826,-5.987965435,-6.658367396,-0.38603966,-0.57605991,-7.316283293,-6.442137128,168
-0.992323825,0.339382395,-1.047073845,0.973498916,1.486128316,0.602862644,0.641013582,0.322168888,-9.360970526,-8.054528665,169
-0.135587507,-0.437811062,-0.434398172,3.515932946,-1.357101218,-1.730362982,1.038004493,-0.242662125,-5.772319844,-9.724201345,172
-0.592514961,-0.187648916,-0.613145365,-0.332756096,-3.901077865,-1.415066165,-0.209978827,-1.237319233,-7.85534698,-5.583120286,173
